CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
20,7,56,26,15,FHD,Non-Touch,Laptop,IND,187998.426
42,16,23,28,15,HD+,Non-Touch,Laptop,AUS,43648.605
20,15,52,19,17,FHD,Non-Touch,Laptop,IND,121702.84
20,3,7,19,15,FHD,Non-Touch,Laptop,IND,132800.976
25,15,54,19,10,FHD,Non-Touch,Desktop,AUS,66139.5
25,15,41,28,15,UHD,Touch,Laptop,FRA,51099.3
10,15,54,17,17,FHD,Non-Touch,Laptop,AUS,124225.29
6,15,23,28,17,HD+,Non-Touch,Laptop,IND,52446.044
22,1,54,17,10,FHD,Non-Touch,Desktop,FRA,99990.751
25,15,5,14,15,FHD,Non-Touch,Laptop,FRA,60404.4
20,15,25,28,15,FHD,Touch,Laptop,FRA,73415.202
10,15,23,32,10,FHD,Non-Touch,Desktop,FRA,68263.258
6,15,41,28,14,FHD,Non-Touch,Laptop,IND,165757.55
6,15,54,28,13,QHD+,Non-Touch,Laptop,IND,175161.56
20,15,23,5,15,UHD,Non-Touch,Laptop,FRA,76726.209
22,3,49,18,15,FHD,Non-Touch,Laptop,AUS,191508.03
20,3,4,19,15,UHD,Non-Touch,Laptop,FRA,129919.188
20,3,23,26,15,FHD,Non-Touch,Laptop,GBR,225027.621
20,3,23,18,15,FHD,Non-Touch,Laptop,AUS,171977.715
20,3,54,28,15,UHD,Non-Touch,Laptop,FRA,208844.181
20,3,56,2,10,FHD,Non-Touch,Laptop,IND,157118.416
7,13,23,4,15,HD+,Non-Touch,Laptop,IND,33728.058
25,14,53,28,15,HD+,Non-Touch,Laptop,FRA,30737.7
10,15,56,18,10,FHD,Non-Touch,Desktop,IND,128756.88
22,3,23,28,17,FHD,Non-Touch,Desktop,GBR,376730.081
20,3,46,19,15,FHD,Non-Touch,Laptop,CHN,246985.2
35,15,28,10,23,FHD,Non-Touch,Desktop,CAN,98233.3443
22,3,56,28,10,FHD,Non-Touch,Desktop,BRA,179914.4005
20,15,16,17,10,FHD,Non-Touch,Desktop,FRA,128379.083
42,13,23,28,14,FHD,Non-Touch,Laptop,GER,37785.566
22,15,70,28,15,FHD,Non-Touch,Laptop,AUS,99736.875
35,15,41,28,13,FHD,Non-Touch,Laptop,AUS,83146.14
20,15,28,4,27,QHD,Non-Touch,Desktop,CAN,159703.7715
20,7,55,26,10,FHD,Non-Touch,Desktop,BRA,236219.8787
20,3,39,14,15,UHD,Non-Touch,Laptop,CHN,302085
25,13,39,28,14,FHD,Non-Touch,Laptop,AUS,36210.51
22,7,41,12,15,FHD,Non-Touch,Laptop,FRA,104859.02
20,2,16,19,10,FHD,Non-Touch,Desktop,FRA,190399.048
20,7,56,26,17,UHD,Non-Touch,Laptop,AUS,477105.09
2,1,41,10,15,FHD,Non-Touch,Laptop,IND,56467.838
20,15,70,28,27,FHD,Non-Touch,Desktop,GBR,189473.263
32,13,73,28,10,HD+,Touch,Laptop,CHN,31977.0234
25,3,41,28,13,HD+,Non-Touch,Laptop,BRA,196547.7318
25,15,5,5,17,FHD,Non-Touch,Laptop,FRA,82109.034
20,3,41,26,17,UHD,Non-Touch,Laptop,IND,310706.508
25,16,23,5,17,FHD,Non-Touch,Laptop,FRA,106846.992
1,3,56,2,17,UHD,Non-Touch,Laptop,IND,325988.334
1,15,23,3,15,FHD,Non-Touch,Laptop,GBR,328496.5005
20,13,4,14,17,FHD,Non-Touch,Laptop,IND,134431.5
13,3,56,25,17,FHD,Non-Touch,Laptop,FRA,194178.978
25,15,75,14,10,FHD,Non-Touch,Desktop,FRA,106755.943
20,15,23,8,10,FHD,Non-Touch,Desktop,FRA,102897.9
22,3,49,26,10,FHD,Non-Touch,Desktop,AUS,305218.935
20,15,56,14,17,FHD,Non-Touch,Laptop,IND,147272.496
20,15,5,14,15,UHD,Non-Touch,Laptop,FRA,140700.7
1,7,67,14,15,UHD,Touch,Laptop,AUS,417358.305
20,3,54,3,17,FHD,Non-Touch,Laptop,GBR,462861.28
6,15,40,28,15,HD+,Non-Touch,Laptop,AUS,69514.83
40,13,40,28,14,FHD,Non-Touch,Laptop,CAN,52719.03
20,11,4,28,13,FHD,Touch,Laptop,FRA,69438.915
20,3,52,7,15,FHD,Non-Touch,Laptop,IND,361158.588
20,7,39,7,17,FHD,Non-Touch,Laptop,FRA,185638.908
6,3,23,28,15,HD+,Non-Touch,Laptop,FRA,46198.845
42,15,41,28,13,FHD,Non-Touch,Laptop,BRA,72784.13415
20,15,70,28,13,QHD+,Non-Touch,Laptop,IND,490935.578
20,3,40,28,15,FHD,Non-Touch,Laptop,CHN,112089.6
25,15,59,14,15,FHD,Non-Touch,Laptop,FRA,79852.5
20,3,23,17,10,FHD,Non-Touch,Desktop,FRA,145248.838
4,13,70,28,10,FHD,Non-Touch,Desktop,GER,57607.536
20,8,23,28,10,FHD,Non-Touch,Desktop,FRA,95282.852
22,3,56,18,16,FHD,Non-Touch,Laptop,GER,245473.634
20,3,52,7,10,FHD,Non-Touch,Desktop,IND,211021.524
22,7,55,3,10,FHD,Non-Touch,Desktop,CAN,429815.75
25,15,41,28,13,FHD,Touch,Laptop,AUS,164411.73
25,7,56,28,15,FHD,Touch,Laptop,FRA,67694.9
20,7,23,28,15,QHD+,Non-Touch,Laptop,GBR,502399.121
13,16,23,28,27,FHD,Touch,Desktop,FRA,183748.775
44,13,39,28,15,HD+,Non-Touch,Laptop,AUS,49787.955
20,16,4,14,15,FHD,Non-Touch,Laptop,FRA,133978.782
20,3,23,19,10,FHD,Non-Touch,Desktop,IND,211279.236
6,13,40,28,10,QHD+,Touch,Laptop,FRA,120363.733
25,3,41,28,15,FHD,Non-Touch,Laptop,AUS,117811.995
25,15,41,28,14,QHD+,Touch,Laptop,AUS,153489.42
10,3,43,18,10,FHD,Non-Touch,Desktop,FRA,153718.719
1,3,23,14,15,UHD,Touch,Laptop,IND,375679.668
13,3,16,22,10,FHD,Non-Touch,Desktop,CAN,292238.0461
20,3,45,19,15,FHD,Non-Touch,Laptop,AUS,388823.8148
20,3,49,7,10,FHD,Non-Touch,Desktop,AUS,193475.1
22,15,52,17,10,FHD,Non-Touch,Desktop,AUS,211345.785
20,3,54,28,15,UHD,Touch,Laptop,GBR,397531.547
22,3,70,26,10,FHD,Non-Touch,Desktop,AUS,282219.84
20,3,56,14,15,FHD,Touch,Laptop,FRA,141855
25,7,23,5,15,FHD,Non-Touch,Laptop,FRA,102238.5
25,15,54,28,13,QHD,Non-Touch,Laptop,AUS,114891.84
20,3,54,7,15,UHD,Touch,Laptop,IND,441001.4
12,16,23,10,15,FHD,Touch,Laptop,FRA,97018.614
25,15,41,14,15,FHD,Touch,Laptop,IND,160078.8
20,3,52,2,18,FHD,Non-Touch,Laptop,GBR,840093.436
20,15,4,5,15,FHD,Touch,Laptop,IND,166685.148
25,15,4,5,15,HD+,Non-Touch,Laptop,GER,313625.7544
22,3,66,11,10,FHD,Non-Touch,Desktop,FRA,335410.614
1,7,54,3,17,FHD,Non-Touch,Laptop,AUS,831558.42
22,15,56,12,15,FHD,Non-Touch,Laptop,GBR,213511.949
22,3,68,28,10,FHD,Non-Touch,Desktop,FRA,272648.565
44,15,39,28,15,FHD,Non-Touch,Laptop,AUS,67356.765
20,3,41,14,15,UHD,Touch,Laptop,FRA,234967.593
20,3,23,2,15,FHD,Non-Touch,Laptop,CAN,380450.9709
6,3,56,28,10,FHD,Non-Touch,Desktop,FRA,92222.9
20,7,4,14,10,FHD,Non-Touch,Desktop,AUS,134482.95
22,7,1,3,17,FHD,Non-Touch,Laptop,GER,542409.91
12,3,72,36,10,FHD,Non-Touch,Desktop,FRA,192008.523
22,3,56,3,10,FHD,Non-Touch,Desktop,IND,435540.714
12,13,54,1,17,FHD,Non-Touch,Desktop,GER,157598.7
25,13,23,28,15,FHD,Touch,Laptop,AUS,103776.5715
25,3,16,19,15,FHD,Non-Touch,Laptop,FRA,190748.474
42,11,23,28,15,HD+,Non-Touch,Laptop,GER,66148.922
2,15,23,33,10,FHD,Non-Touch,Laptop,FRA,84546
20,7,70,26,15,UHD,Non-Touch,Laptop,FRA,466198.446
35,15,54,1,15,FHD,Non-Touch,Desktop,GER,166744.942
20,15,23,28,14,HD,Touch,Laptop,CHN,117454.428
20,7,52,3,17,FHD,Non-Touch,Desktop,USA,626160.528
6,13,39,4,14,HD+,Non-Touch,Laptop,AUS,86223.69
25,15,41,29,14,FHD,Touch,Laptop,IND,215439.798
20,15,23,30,10,FHD,Non-Touch,Desktop,GBR,166060.741
20,3,70,28,17,FHD,Touch,Laptop,FRA,143869.453
42,13,40,28,12,FHD+,Non-Touch,Laptop,AUS,118825.245
1,7,7,3,17,FHD,Non-Touch,Laptop,FRA,641198.397
22,16,23,14,10,FHD,Non-Touch,Desktop,FRA,132466.404
25,3,55,28,23,FHD,Touch,Desktop,FRA,178477.6
20,15,23,29,15,FHD,Non-Touch,Laptop,GER,161559.958
20,7,41,28,15,QHD+,Non-Touch,Laptop,IND,578375.112
25,3,70,19,10,FHD,Non-Touch,Desktop,IND,238581.84
25,15,56,14,17,FHD,Non-Touch,Laptop,AUS,213976.455
25,7,23,5,17,FHD,Non-Touch,Laptop,FRA,138178.355
20,15,23,28,15,FHD,Touch,Laptop,IND,212550.45
22,7,5,26,17,FHD,Non-Touch,Laptop,CAN,649254.06
20,7,44,3,10,FHD,Non-Touch,Desktop,IND,533067.36
20,3,56,19,10,FHD,Non-Touch,Laptop,IND,248065.972
1,3,23,28,15,QHD+,Non-Touch,Laptop,IND,718729.032
22,15,52,3,15,FHD,Non-Touch,Laptop,AUS,508174.59
20,7,39,3,17,FHD,Non-Touch,Laptop,CHN,819100.8
1,3,41,32,15,QHD+,Non-Touch,Laptop,IND,627266.052
44,13,23,28,17,HD+,Non-Touch,Laptop,IND,73150.56
13,15,41,28,12,HD+,Non-Touch,Laptop,AUS,155584.065
25,15,23,7,10,FHD,Non-Touch,Desktop,FRA,244123.25
42,13,41,28,13,FHD,Touch,Laptop,GBR,129123.183
20,3,23,5,10,FHD,Non-Touch,Desktop,IND,370007.526
12,3,54,10,14,FHD,Touch,Laptop,USA,249859.008
6,13,40,5,15,FHD,Non-Touch,Laptop,CAN,189505.2705
20,7,70,32,15,QHD+,Non-Touch,Laptop,IND,1018976.728
25,16,23,4,17,HD+,Touch,Laptop,FRA,121138.5
20,15,40,19,17,FHD,Non-Touch,Laptop,BRA,286115.4625
9,15,75,14,10,FHD,Non-Touch,Desktop,FRA,147516.201
20,15,16,28,15,FHD,Non-Touch,Laptop,FRA,143580.78
20,2,56,19,10,FHD,Non-Touch,Desktop,USA,322430.976
6,15,41,28,13,FHD,Touch,Laptop,IND,265170.78
26,13,39,29,15,HD+,Non-Touch,Laptop,GER,40272.414
20,3,70,19,15,FHD,Non-Touch,Laptop,AUS,368522.7
25,15,54,26,10,FHD,Non-Touch,Desktop,FRA,310861.166
20,7,52,5,10,FHD,Non-Touch,Desktop,FRA,236418
18,13,70,4,15,FHD,Non-Touch,Laptop,GER,85940.316
25,3,56,28,15,FHD,Non-Touch,Laptop,IND,191584.092
20,15,56,7,17,UHD,Non-Touch,Laptop,IND,431446.232
10,15,67,19,15,FHD,Non-Touch,Laptop,FRA,186415.117
20,3,16,32,27,UHD,Touch,Desktop,USA,596351.448
25,15,23,7,15,UHD,Non-Touch,Laptop,FRA,288902.124
5,15,23,28,15,FHD,Non-Touch,Laptop,GER,162203.034
20,7,60,26,15,FHD,Non-Touch,Laptop,FRA,420523.131
6,2,5,28,27,UHD,Touch,Desktop,BRA,343581.8757
44,15,23,28,23,FHD,Touch,Desktop,USA,148862.448
20,3,56,5,23,FHD,Touch,Desktop,USA,327663.6502
42,13,39,28,15,HD+,Non-Touch,Laptop,AUS,104089.86
20,3,55,5,17,FHD,Non-Touch,Laptop,FRA,292761
1,3,23,32,15,QHD+,Non-Touch,Laptop,IND,1140065.85
22,1,70,17,10,FHD,Non-Touch,Desktop,FRA,199204.047
20,15,41,10,15,FHD,Touch,Laptop,FRA,275378.033
25,15,4,28,15,FHD,Non-Touch,Laptop,AUS,279186.915
22,7,70,32,15,QHD+,Non-Touch,Laptop,IND,1119163.92
35,15,23,5,15,FHD,Non-Touch,Laptop,GER,138500.656
10,16,23,14,10,FHD,Non-Touch,Desktop,FRA,184231.019
22,3,23,18,10,FHD,Non-Touch,Desktop,FRA,305968.026
20,2,37,2,10,FHD,Non-Touch,Desktop,FRA,596398.012
20,15,54,5,17,FHD,Non-Touch,Laptop,IND,278295.094
25,3,56,2,10,FHD,Non-Touch,Desktop,IND,487190.494
42,13,23,28,14,HD,Touch,Desktop,CHN,80622.108
2,13,41,28,15,FHD,Non-Touch,Laptop,CAN,143881.92
22,3,70,26,17,FHD,Non-Touch,Laptop,AUS,448845.075
20,1,23,26,10,FHD,Non-Touch,Desktop,FRA,240990.449
2,15,23,28,10,FHD,Non-Touch,Desktop,FRA,133663.005
22,7,70,26,17,FHD,Non-Touch,Laptop,BRA,785573.8891
22,15,70,17,10,FHD,Non-Touch,Desktop,FRA,295292.935
20,7,23,28,17,FHD,Non-Touch,Desktop,CHN,950518.8
42,13,23,28,15,FHD,Non-Touch,Laptop,CAN,102354.1064
6,15,40,28,13,FHD+,Non-Touch,Laptop,FRA,230766.921
6,15,23,10,15,UHD,Touch,Laptop,FRA,122637.956
22,3,54,5,14,FHD,Non-Touch,Laptop,IND,324093.936
20,3,41,5,15,FHD,Touch,Laptop,IND,338583.182
22,3,31,18,10,FHD,Non-Touch,Desktop,FRA,309726.893
25,15,4,19,17,FHD,Non-Touch,Laptop,CAN,351766.8518
1,3,52,3,13,FHD,Touch,Laptop,CAN,832372.45
25,3,23,5,15,FHD,Non-Touch,Laptop,AUS,235431.105
20,15,4,19,10,FHD,Non-Touch,Desktop,IND,278382.65
6,15,23,5,10,FHD,Non-Touch,Desktop,CAN,131910.8518
20,15,54,28,15,UHD,Touch,Laptop,FRA,256197.9
20,15,54,28,13,FHD+,Non-Touch,Laptop,AUS,207448.08
1,3,7,2,15,FHD,Non-Touch,Laptop,IND,718297.86
20,3,70,28,14,FHD,Non-Touch,Laptop,CHN,676166.4
22,15,41,12,15,FHD,Non-Touch,Laptop,AUS,249741.135
25,15,41,28,10,FHD,Non-Touch,Desktop,IND,192253.152
22,15,23,17,10,FHD,Non-Touch,Desktop,FRA,301627.83
6,3,16,2,10,FHD,Non-Touch,Desktop,BRA,541653.7
25,15,23,28,13,FHD,Touch,Laptop,FRA,307717.802
6,3,28,19,10,FHD,Non-Touch,Desktop,BRA,423786.7037
20,3,75,7,10,FHD,Non-Touch,Desktop,FRA,411905.809
20,3,2,7,10,FHD,Non-Touch,Desktop,FRA,308697.795
20,16,56,14,15,FHD,Touch,Laptop,IND,339059.784
13,3,56,19,15,FHD,Non-Touch,Laptop,FRA,255490.739
42,13,40,28,14,FHD,Non-Touch,Laptop,IND,91983.36
25,15,41,14,17,FHD,Non-Touch,Laptop,CAN,260970.71
25,3,4,14,15,FHD,Non-Touch,Laptop,CAN,251091.75
20,3,52,18,15,FHD,Non-Touch,Laptop,AUS,477681.75
23,15,40,28,12,FHD+,Touch,Laptop,AUS,144076.8
25,15,54,12,15,FHD,Non-Touch,Laptop,GER,305335.856
20,3,55,5,15,UHD,Non-Touch,Laptop,BRA,370805.6394
25,15,40,28,13,UHD,Non-Touch,Laptop,AUS,294868.98
25,3,41,18,15,FHD,Non-Touch,Laptop,FRA,344397.704
22,3,54,18,15,UHD,Non-Touch,Laptop,AUS,557724.7914
25,15,23,28,14,FHD,Touch,Laptop,FRA,145968.683
12,3,4,8,10,FHD,Non-Touch,Desktop,FRA,187128.564
25,15,28,28,15,FHD,Non-Touch,Laptop,AUS,196871.955
13,3,56,7,17,FHD,Non-Touch,Laptop,CAN,330372.042
6,15,41,4,15,FHD,Non-Touch,Laptop,IND,189005.0144
22,7,23,28,15,QHD+,Non-Touch,Laptop,IND,1113169.638
20,15,41,28,13,QHD+,Non-Touch,Laptop,AUS,505021.86
20,15,4,28,15,UHD,Touch,Laptop,FRA,332157.525
20,3,46,7,17,FHD,Non-Touch,Laptop,CHN,816354
25,3,4,4,14,FHD,Non-Touch,Laptop,IND,225051.134
20,7,76,11,10,FHD,Non-Touch,Desktop,IND,917690.956
25,15,56,28,15,FHD,Non-Touch,Desktop,AUS,247659.615
10,15,23,12,15,FHD,Non-Touch,Laptop,AUS,215424.09
22,7,23,14,10,FHD,Non-Touch,Desktop,FRA,267187.571
22,15,41,18,10,FHD,Non-Touch,Desktop,FRA,364137.62
25,15,43,14,10,FHD,Non-Touch,Desktop,FRA,242498.599
20,15,54,19,17,FHD,Non-Touch,Laptop,IND,372321.978
25,15,54,28,13,UHD,Non-Touch,Laptop,AUS,208839.855
16,13,39,28,15,HD+,Touch,Laptop,CHN,118492.3404
1,7,23,14,15,UHD,Touch,Laptop,IND,968622.116
32,11,67,28,10,HD+,Touch,Laptop,GER,48671.21
13,15,40,28,13,FHD,Non-Touch,Laptop,AUS,201247.725
20,3,49,26,15,FHD,Non-Touch,Laptop,AUS,648611.145
20,15,54,14,10,FHD,Non-Touch,Desktop,FRA,251147.001
22,3,54,3,15,FHD,Non-Touch,Laptop,FRA,632097.55
10,15,54,18,15,FHD,Non-Touch,Laptop,AUS,309345.225
20,3,16,19,17,FHD,Non-Touch,Laptop,AUS,370612.935
20,3,54,28,13,QHD,Non-Touch,Laptop,IND,445742.64
25,15,23,28,10,FHD,Non-Touch,Laptop,USA,178059.168
20,3,39,5,17,FHD,Non-Touch,Laptop,CHN,650449.8
20,8,23,7,15,FHD,Non-Touch,Laptop,GER,919824.4622
35,3,55,11,10,FHD,Non-Touch,Desktop,IND,1326629.514
20,3,56,3,10,FHD,Non-Touch,Desktop,IND,688624.636
10,3,4,19,10,FHD,Non-Touch,Desktop,IND,302838.858
25,3,52,33,10,FHD,Non-Touch,Desktop,FRA,200820.445
20,13,43,14,10,FHD,Non-Touch,Desktop,FRA,239565.424
20,15,28,19,15,FHD,Non-Touch,Laptop,AUS,335215.965
20,3,54,5,15,FHD,Non-Touch,Laptop,AUS,655056.465
22,15,41,19,15,UHD,Non-Touch,Laptop,FRA,277127.41
36,13,40,28,15,HD+,Non-Touch,Laptop,IND,116143.034
20,1,23,28,15,FHD,Non-Touch,Laptop,BRA,196000.699
22,15,56,3,10,FHD,Non-Touch,Desktop,IND,474684.854
1,7,70,3,15,FHD,Non-Touch,Laptop,AUS,1184360.52
25,3,55,14,15,FHD,Non-Touch,Laptop,FRA,245830.2
19,7,67,11,10,FHD,Non-Touch,Desktop,AUS,3141560.73
20,15,54,28,13,QHD,Non-Touch,Laptop,AUS,251960.625
25,15,55,17,10,FHD,Non-Touch,Desktop,FRA,386610.861
20,3,70,18,17,FHD,Non-Touch,Laptop,CHN,1041440.4
10,7,23,19,15,FHD,Non-Touch,Laptop,FRA,325497.375
20,15,4,4,14,FHD,Non-Touch,Laptop,AUS,332398.08
