,0
0,1502394.4062304713
1,4009403.1841555806
2,3178479.275420869
3,1724114.9679534025
4,3194225.0603700867
5,1621135.4072519771
6,1824282.4962362433
7,2954997.1957559837
8,1615418.8385798216
9,2471466.3899202673
10,823681.18508821
11,1827869.2403123777
12,1823243.8097888296
13,2446330.8963840874
14,1675723.796951062
15,2426304.2245677775
16,2568697.2768838173
17,756013.5793834219
18,2393498.0694607208
19,1507541.7608718986
20,1948170.703725133
21,544673.4916188291
22,2461454.0083336756
23,2482124.9365340066
24,-246659.52567927097
25,2842837.4815339847
26,1698232.225922375
27,3293303.482034363
28,1828330.3313608733
29,1127876.5585426998
30,1923626.8396427226
31,3037557.864401486
32,1319756.3270204267
33,2071765.6891948476
34,2462962.051052731
35,1505014.4916361098
36,3267523.4341305904
37,888290.4226038965
38,1495014.414290946
39,3977797.109764456
40,1953580.261250826
41,986099.3449637289
42,1287077.6090876958
43,2833242.1960791606
44,2737657.112013066
45,3036956.8320077686
46,2918443.6085274722
47,2849989.9612652245
48,3442172.0124796573
49,2202754.5413725595
50,2969553.0799337244
51,2039063.1175292416
52,2004391.1598997053
53,1449716.0727727844
54,3097079.1597883194
55,1554891.5016361172
56,1975264.8712481668
57,1428241.7000117905
58,3318352.5055649467
59,3348029.2075386625
60,2456016.138664967
61,1700937.1699623205
62,3314453.810901989
63,1725607.275580305
64,3466414.9103745446
65,2542942.7141664987
66,3131331.9475143626
67,2016470.0983625958
68,3991539.4720671605
69,2723351.756029592
70,3306641.8342177058
71,2435142.200767569
72,2842173.056890363
73,1907975.8381549981
74,2259525.6810981464
75,3306164.9226121777
76,1481870.3579469938
77,714990.6805525741
78,1877474.643541535
79,2585181.602333354
80,2010438.4988055315
81,2384669.2510167803
82,3510900.5592096075
83,2348551.0456944183
84,2621902.637618393
85,1179773.5426951936
86,4957530.517858505
87,3674649.431024976
88,3566177.9668954555
89,3119487.471744295
90,2452018.6085903645
91,1990800.4713642886
92,2322272.4767880584
93,1254680.468319435
94,1455363.9742757704
95,1376323.6221225625
96,2235209.2471399894
97,3868222.6798644625
98,2454986.749844923
99,2703785.442601889
100,1019933.3661002023
101,2678171.2805973575
102,1473564.522708705
103,2094317.6914480017
104,1341432.5306164564
105,4641810.4216689505
106,2726171.658206603
107,3332593.0763246864
108,1470074.7775957533
109,1982257.9039746448
110,3464127.03749027
111,1744572.002073662
112,2615115.702449951
113,3198181.8802802553
114,3741643.2845105
115,1596281.3633053068
116,2383061.267145072
117,3496788.061984818
118,624932.7404512779
119,1977579.0691850986
120,1807405.916196254
121,1699560.4006216612
122,762423.5150115327
123,1032015.4991800403
124,1762833.791250373
125,2747185.3242073683
126,1830868.5451044766
127,2941114.1960504563
128,724702.6014932925
129,1983130.5934273032
130,939449.0591229831
131,1701115.0339566104
132,2655987.984686496
133,2793628.8549782285
134,2394849.90724843
135,2571681.7843228197
136,688409.4523354734
137,2365781.0023845667
138,1043434.7309007925
139,2248668.3242815235
140,910244.0015639615
141,2921450.402809335
142,2524112.4333750494
143,2350724.4462452093
144,3734231.337673432
145,2097445.320725002
146,2281401.787606949
147,3088572.3163714604
148,951532.1199918163
149,3069705.449761414
150,2710040.0443950826
151,2422575.3310014075
152,3517816.780389135
153,939063.8299429683
154,3161110.6277281297
155,2224245.940402282
156,821502.1394337153
157,1667899.5026032412
158,2564615.0072035957
159,3975586.9988494776
160,1379155.54633393
161,2380896.113514949
162,1421869.6989190744
163,1993173.3462178905
164,2393310.4376428304
165,2960760.987095814
166,3677932.7006685273
167,3022906.0143904006
168,2147210.373928878
169,2572377.853839427
170,1317348.8390990854
171,1151843.7427263153
172,4309456.133261826
173,2625524.891800978
174,827549.364895754
175,899981.5834151874
176,1249739.9992579974
177,2036473.4046024713
178,4025738.3728356753
179,2544137.2141369907
180,543493.7277073003
181,2559483.110507751
182,1426683.487634252
183,1385681.6637073513
184,3067761.643527996
185,2692510.3933557174
186,3917245.0585913667
187,1561504.0098644625
188,1669485.7039157962
189,1117738.7587954788
190,1428239.8609993542
191,3706201.700614822
192,1167270.2637990161
193,2073269.7373039986
194,1483949.4454808657
195,2318256.702808903
196,1484569.4415077292
197,898263.4235456621
198,1263194.660780382
