,0
0,2543190.807360624
1,3166919.9918008177
2,1336964.705775667
3,1508284.2145808665
4,2815629.7653270066
5,2824801.4702038364
6,1783431.1802548296
7,350809.5731893738
8,2503296.0839450094
9,1607730.7723694907
10,2059617.7575036834
11,2616830.9869270315
12,1594546.4256402794
13,2020313.666387071
14,1186081.4285425157
15,3595670.941262832
16,2090442.7195855915
17,4135136.5925160963
18,1481668.8428620636
19,1495688.1841146345
20,3838974.1021324927
21,1315802.4889599818
22,1434126.3233316827
23,3216781.3008074723
24,3833670.259557585
25,1369897.1974870916
26,2288303.2732530166
27,1512979.175153865
28,2268366.4939770345
29,775647.5904630146
30,1989337.9992282619
31,1812674.2099615647
32,1478724.0363850913
33,1178554.4541593324
34,1424371.9078466163
35,2690263.458470834
36,2426318.1859236215
37,641246.2271887946
38,3452644.6575507643
39,1355198.0265047122
40,1183199.8709209454
41,3371820.844804531
42,1365677.732586419
43,999593.3544208187
44,1522357.0257275905
45,1718448.5778501797
46,2151882.6091261194
47,1940436.9608643714
48,3136387.6738981735
49,975656.6525332774
50,2019916.4761481308
51,4277924.433074218
52,684995.9143838745
53,1050329.958576564
54,3281497.550467491
55,3087489.572510696
56,4210302.419788521
57,1079194.570319046
58,505252.628157899
59,2262520.982487853
60,3552008.4988088105
61,-477473.7347427041
62,1338107.7026393358
63,3469119.0473941024
64,2947154.894958347
65,1998539.611329401
66,2881015.156207679
67,1132996.8915804508
68,2263574.293764202
69,1567842.4602494899
70,1125822.0439866688
71,270477.49947186117
72,406534.2016522633
73,1350265.7634180868
74,1365007.8512912253
75,1306116.8483784753
76,664805.8766379021
77,2006084.1443157368
78,669354.5858949933
79,1323690.028530868
80,4045962.9067774517
81,2825713.208123749
82,1950694.6242607958
83,3386579.6012540245
84,1621616.0492707891
85,1664742.8998869755
86,751194.4827973265
87,2908502.1463742726
88,2490032.963966472
89,2909246.8765775515
90,1003192.8871618464
91,2669335.3857296193
92,4248658.811417358
93,2072408.3307116407
94,990562.7416580698
95,2408931.6927883476
96,1062098.6033047356
97,561345.6200448568
98,1897726.9500934924
99,1906484.6575771284
100,1526258.5797091564
101,249519.26181779965
102,4050969.339350776
103,862713.5011139144
104,2303625.4202787755
105,2331009.3404599875
106,1653794.165864827
107,1541899.6535604128
108,3438633.436880012
109,782760.6472123016
110,1335535.4935803446
111,423765.8381322946
112,1278652.1973794843
113,3582281.6719407667
114,3606765.9041285776
115,3999792.760962908
116,4148287.4186842153
117,3465198.9489334202
118,2124702.812858106
119,1918372.7849571551
120,-147741.20258439123
121,1693068.4237814373
122,3086621.4015183114
123,3065243.3622710183
124,63070.00610194169
125,2184909.058208741
126,2090765.1804742669
127,965438.6559216735
128,962178.0768952117
129,2491233.4893296817
130,2002831.3413688433
131,3199739.4644555617
132,2562074.39183434
133,1489627.1892483188
134,981924.4196455964
135,3529332.0769360666
136,1814522.4074121423
137,2244697.1968912426
138,2677790.7634807415
139,502313.5355939185
140,1116627.059891193
141,1813172.1687076066
142,1942817.8406574316
143,1266702.3255395717
144,1477109.9243811064
145,2084358.9029811623
146,1377322.9762273743
147,2043442.980586682
148,3570584.171693299
149,2178997.171889499
150,1305746.364902518
151,960286.1060674379
152,674777.9546679023
153,2588965.87205696
154,1673172.9154229553
155,1063347.2029282285
156,1497302.4843393352
157,720496.314597578
158,1156301.6293547451
159,2247784.0631676232
160,1633425.4215336095
161,2193390.3673717347
162,1594936.6277725238
163,2990435.6651389226
164,1143181.3597643152
165,725668.2918897704
166,1188140.339982383
167,1760294.6656636891
168,1332840.5324255517
169,2346942.0979169975
170,1097823.7355533494
171,831759.0281922051
172,1341962.5471590105
173,1416340.6654456188
174,4419058.759052165
175,550622.2684061138
176,2748236.2578895614
177,1967804.611151514
178,1462470.5843832497
179,2201742.99927612
180,3320591.01122766
181,1047973.8548795418
182,763863.0144418415
183,3296796.402531527
184,1940244.0253783385
185,3795856.0065161153
186,1382903.1499451224
187,2385007.968114908
188,1114581.3139121814
189,2840854.4946889197
190,3396039.690571595
191,1423638.5992219548
192,2790695.8905099547
193,2580953.962496532
194,2317123.2976272
195,1487688.8730893387
196,1625896.6666886122
197,2286256.0013948227
198,1488845.8085124942
199,1851233.9188231225
200,2717654.5144083034
201,1582346.5580649897
202,2740835.5003599534
203,2488544.704598547
204,4007149.1875111014
205,2284752.2874556785
206,1604337.7240112298
207,1871357.3236919884
208,4090795.0455616554
209,1700622.9484236764
210,1597731.7956440332
211,895312.5268230169
212,3616991.0789050786
213,2957780.245964016
214,3007758.6607816173
215,795277.5775280006
216,1095679.5250635596
217,1314686.812763126
218,2741355.3807007163
219,3588214.607330015
220,2957599.2134326054
221,1886082.1045653184
222,1621960.410524462
223,1642556.5589075936
224,2868421.214950589
225,1110198.2023095167
226,659743.9044746773
227,1399379.9688898944
228,2864317.8710823846
229,562121.6495735522
230,1092941.5894318481
231,1226780.4928480545
232,3561726.770944817
233,1440361.59532311
234,1409343.9723838535
235,1638320.4014346157
236,1300276.9283428742
237,1808038.66429874
238,1809342.1694570212
239,1837599.7898404351
240,1979886.5024833
241,3963307.273947588
242,3349687.7499485444
243,1297341.51116645
244,1960672.992623196
245,886506.2774026943
246,1246157.346394922
247,1842134.5717097423
248,2550774.0335400496
249,1939675.9567293166
250,2881106.100711461
251,2656076.5168470037
252,2253021.457196488
253,1480239.3322217069
254,1993591.2479965037
255,1708105.1553633364
256,1139317.327470859
257,2313423.9032320203
258,1572931.0907537579
259,2027137.1759214867
260,2563409.8784081163
261,2182139.055817614
262,342267.0057997301
263,2009354.3916197082
264,1315147.4611412243
265,1960805.705195589
266,2288997.744978334
267,1331503.4514086721
